variant,fold,lambda_n,target,R2,MAE_um,RMSE_um,MAPE_percent,WMAPE_percent,n_delta_Sa_mean_um,n_delta_Sa_max_um,n_delta_Sz_mean_um,n_delta_Sz_max_um
A_data_only_same_arch,0,0.0,Sa_um,0.9789908116356505,0.06912741959928718,0.09731164435040486,8.354704708771182,7.383175952372402,0.028298698430569088,0.18889137748250473,0.11269928726072982,0.8534713236603455
A_data_only_same_arch,0,0.0,Sz_um,0.9933336372403823,0.19052679520137525,0.24949869288756268,5.208227031461457,3.9749322803619966,0.028298698430569088,0.18889137748250473,0.11269928726072982,0.8534713236603455
A_data_only_same_arch,1,0.0,Sa_um,0.9780995724548756,0.07965750964834335,0.10497584077564777,18.747903626192667,7.767272484144461,0.027078075210007872,0.10845531163882804,0.10244532932710126,0.5718864602038125
A_data_only_same_arch,1,0.0,Sz_um,0.9934522633466061,0.21248505302685028,0.2688409498145906,10.827482785231297,4.0623054047210765,0.027078075210007872,0.10845531163882804,0.10244532932710126,0.5718864602038125
A_data_only_same_arch,2,0.0,Sa_um,0.9792774983981973,0.0624017137990036,0.07927347164641278,16.023257761463963,8.290650083581525,0.03050793086354991,0.13819569261179232,0.10266391612170409,0.6219363112937755
A_data_only_same_arch,2,0.0,Sz_um,0.9907281845607467,0.17807739739654427,0.2474788531327968,7.970641985310004,4.494240689841942,0.03050793086354991,0.13819569261179232,0.10266391612170409,0.6219363112937755
A_data_only_same_arch,3,0.0,Sa_um,0.9766699672939073,0.06903459957461464,0.09237473668972289,12.090887337835149,8.297118878226588,0.02291427211387815,0.16452314566473714,0.08533927144451979,0.7217709471867124
A_data_only_same_arch,3,0.0,Sz_um,0.993998416751785,0.17144720770612937,0.22503887361680455,6.28750910565417,3.885565636103027,0.02291427211387815,0.16452314566473714,0.08533927144451979,0.7217709471867124
A_data_only_same_arch,4,0.0,Sa_um,0.9582886766766021,0.09553644980319291,0.13398561085491842,11.348207849014546,9.941470589874172,0.021522869263371,0.11933758083171275,0.07891788678012682,0.41254896709290456
A_data_only_same_arch,4,0.0,Sz_um,0.9908845461974879,0.2392320582224105,0.30318188647924493,7.514545683284498,4.669178375268541,0.021522869263371,0.11933758083171275,0.07891788678012682,0.41254896709290456
B_data_plus_Ln,0,0.4982006940358037,Sa_um,0.9825075129747405,0.063486036140912,0.08879447708819659,7.603218614895027,6.780646204706013,0.018956746605254832,0.2550557079718059,0.06659330413675546,0.6604730078030521
B_data_plus_Ln,0,0.4982006940358037,Sz_um,0.9952999630786658,0.16214857266787897,0.20949537431985588,4.751038320724841,3.382881631063738,0.018956746605254832,0.2550557079718059,0.06659330413675546,0.6604730078030521
B_data_plus_Ln,1,0.4982006940358037,Sa_um,0.9791708154874891,0.07651930149205402,0.1023762455489637,15.828260908138613,7.461270978831637,0.015945592324740892,0.06342052698536382,0.05894636000871461,0.37508365861328974
B_data_plus_Ln,1,0.4982006940358037,Sz_um,0.9945048130669777,0.1949377905145825,0.24628675374537756,9.183706451665746,3.726835505421206,0.015945592324740892,0.06342052698536382,0.05894636000871461,0.37508365861328974
B_data_plus_Ln,2,0.4982006940358037,Sa_um,0.9844352851482586,0.05228181788416115,0.06870326414693503,11.530628134366252,6.946127460653746,0.011078037349034692,0.0724282911947357,0.050341612655946895,0.251544948446063
B_data_plus_Ln,2,0.4982006940358037,Sz_um,0.9948093082059849,0.13793129976766844,0.18516901953792894,5.264100282022547,3.4810507615306796,0.011078037349034692,0.0724282911947357,0.050341612655946895,0.251544948446063
B_data_plus_Ln,3,0.4982006940358037,Sa_um,0.9790174021177332,0.06571611836093746,0.08760424851618119,11.578417889242681,7.8982778145468915,0.012706931959662944,0.07009470897537984,0.05009976892309998,0.408091540969334
B_data_plus_Ln,3,0.4982006940358037,Sz_um,0.9945280627881307,0.16669541992279605,0.21487959698933393,5.818186243784323,3.77787427403301,0.012706931959662944,0.07009470897537984,0.05009976892309998,0.408091540969334
B_data_plus_Ln,4,0.4982006940358037,Sa_um,0.9648776139563293,0.08258966389792768,0.12294848522932089,9.12577762382831,8.594235146483326,0.020144452122186178,0.14675977681836772,0.04436524227774869,0.3308756580883063
B_data_plus_Ln,4,0.4982006940358037,Sz_um,0.9961105105379129,0.1517245858585495,0.1980434135218996,4.495827695287144,2.961263471757194,0.020144452122186178,0.14675977681836772,0.04436524227774869,0.3308756580883063
